Start date,End date,Mean,Min,Max
2024-12-04T00:00:00Z,2024-12-05T00:00:00Z,2.6498820058997032,-1.63,5.9
2024-12-05T00:00:00Z,2024-12-06T00:00:00Z,2.7329166666666653,-1.63,5.9
2024-12-06T00:00:00Z,2024-12-07T00:00:00Z,2.7849299719887957,-1.45,6.45
2024-12-07T00:00:00Z,2024-12-08T00:00:00Z,2.8912256267409457,-0.18,5.99
2024-12-08T00:00:00Z,2024-12-09T00:00:00Z,2.734888888888889,-0.64,6.36
2024-12-09T00:00:00Z,2024-12-10T00:00:00Z,2.5330277777777788,-1,5.63
2024-12-10T00:00:00Z,2024-12-11T00:00:00Z,2.637611111111109,-0.09,6.36
2024-12-11T00:00:00Z,2024-12-12T00:00:00Z,2.6770833333333335,-0.91,5.63
2024-12-12T00:00:00Z,2024-12-13T00:00:00Z,2.941638888888889,0.36,5.99
2024-12-13T00:00:00Z,2024-12-14T00:00:00Z,2.839277777777777,-0.18,5.9
2024-12-14T00:00:00Z,2024-12-15T00:00:00Z,2.895166666666666,-1.18,6.54
2024-12-15T00:00:00Z,2024-12-16T00:00:00Z,3.3398055555555555,-0.73,9.17
2024-12-16T00:00:00Z,2024-12-17T00:00:00Z,4.852861111111111,0.73,57.11
2024-12-17T00:00:00Z,2024-12-18T00:00:00Z,6.373888888888886,0.09,66.83
2024-12-18T00:00:00Z,2024-12-19T00:00:00Z,3.7243732590529235,0.54,20.7
2024-12-19T00:00:00Z,2024-12-20T00:00:00Z,3.4666944444444425,0,37.5
2024-12-20T00:00:00Z,2024-12-21T00:00:00Z,3.1370833333333312,-0.18,21.79
2024-12-21T00:00:00Z,2024-12-22T00:00:00Z,3.2709444444444435,0.09,7.9
2024-12-22T00:00:00Z,2024-12-23T00:00:00Z,3.7971111111111124,0.09,33.69
2024-12-23T00:00:00Z,2024-12-24T00:00:00Z,4.561799999999998,0.18,16.25
2024-12-24T00:00:00Z,2024-12-25T00:00:00Z,4.65438888888889,0.82,19.07
2024-12-25T00:00:00Z,2024-12-26T00:00:00Z,4.566805555555558,1.27,9.17
2024-12-26T00:00:00Z,2024-12-27T00:00:00Z,4.761333333333332,0.91,16.25
2024-12-27T00:00:00Z,2024-12-28T00:00:00Z,4.850194444444446,0.45,10.17
2024-12-28T00:00:00Z,2024-12-29T00:00:00Z,4.657111111111108,1.18,10.9
2024-12-29T00:00:00Z,2024-12-30T00:00:00Z,4.681888888888891,0.45,12.26
2024-12-30T00:00:00Z,2024-12-31T00:00:00Z,4.534194444444445,0.73,8.9
2024-12-31T00:00:00Z,2025-01-01T00:00:00Z,4.354583333333335,1.18,13.62
2025-01-01T00:00:00Z,2025-01-02T00:00:00Z,3.4508611111111103,-0.18,8.08
2025-01-02T00:00:00Z,2025-01-03T00:00:00Z,3.3855555555555554,-0.64,10.81
2025-01-03T00:00:00Z,2025-01-04T00:00:00Z,3.3661111111111093,-0.27,11.99
2025-01-04T00:00:00Z,2025-01-05T00:00:00Z,3.834083333333333,0.45,26.42
2025-01-05T00:00:00Z,2025-01-06T00:00:00Z,3.608,0.09,20.88
2025-01-06T00:00:00Z,2025-01-07T00:00:00Z,4.4915833333333355,-0.09,35.87
2025-01-07T00:00:00Z,2025-01-08T00:00:00Z,4.553305555555555,0.18,44.86
2025-01-08T00:00:00Z,2025-01-09T00:00:00Z,5.102388888888891,0,50.39
2025-01-09T00:00:00Z,2025-01-10T00:00:00Z,5.072194444444445,0.27,42.49
2025-01-10T00:00:00Z,2025-01-11T00:00:00Z,5.116222222222218,-0.45,44.04
2025-01-11T00:00:00Z,2025-01-12T00:00:00Z,6.270611111111107,0,74.82
2025-01-12T00:00:00Z,2025-01-13T00:00:00Z,5.082555555555557,-0.09,48.58
2025-01-13T00:00:00Z,2025-01-14T00:00:00Z,5.851833333333338,0,52.66
2025-01-14T00:00:00Z,2025-01-15T00:00:00Z,7.096277777777771,0.09,78.72
2025-01-15T00:00:00Z,2025-01-16T00:00:00Z,6.926638888888884,0.27,65.29
