Start date,End date,Mean,Median,Min,Max,Records (count)
2016-06-06T16:34:00Z,2016-06-06T16:34:00Z,,,,,1
2016-06-13T16:23:00Z,2016-06-13T16:23:00Z,,,,,1
2016-06-20T16:32:00Z,2016-06-20T16:32:00Z,,,,,1
2016-06-27T16:41:00Z,2016-06-27T16:41:00Z,,,,,1
2016-07-05T16:40:00Z,2016-07-05T16:40:00Z,,,,,1
2016-07-11T16:30:00Z,2016-07-11T16:30:00Z,,,,,1
2016-07-18T16:49:00Z,2016-07-18T16:49:00Z,,,,,1
2016-07-25T16:33:00Z,2016-07-25T16:33:00Z,,,,,1
2016-08-01T16:21:00Z,2016-08-01T16:21:00Z,,,,,1
2016-08-08T16:15:00Z,2016-08-08T16:15:00Z,,,,,1
2016-08-15T17:09:00Z,2016-08-15T17:09:00Z,,,,,1
2016-08-22T15:44:00Z,2016-08-22T15:44:00Z,,,,,1
2016-08-29T16:05:00Z,2016-08-29T16:05:00Z,,,,,1
2016-09-06T15:50:00Z,2016-09-06T15:50:00Z,,,,,1
2016-09-12T16:19:00Z,2016-09-12T16:19:00Z,,,,,1
2016-09-19T15:50:00Z,2016-09-19T15:50:00Z,,,,,1
2016-09-26T16:05:00Z,2016-09-26T16:05:00Z,,,,,1
2016-10-03T16:05:00Z,2016-10-03T16:05:00Z,,,,,1
2016-10-10T16:09:00Z,2016-10-10T16:09:00Z,,,,,1
2016-10-17T15:53:00Z,2016-10-17T15:53:00Z,,,,,1
2016-10-24T15:55:00Z,2016-10-24T15:55:00Z,,,,,1
2016-10-31T16:53:00Z,2016-10-31T16:53:00Z,,,,,1
2016-11-07T17:09:00Z,2016-11-07T17:09:00Z,,,,,1
2016-11-14T17:50:00Z,2016-11-14T17:50:00Z,,,,,1
2016-11-21T18:40:00Z,2016-11-21T18:40:00Z,,,,,1
2016-11-28T18:16:00Z,2016-11-28T18:16:00Z,,,,,1
2016-12-05T17:42:00Z,2016-12-05T17:42:00Z,,,,,1
2016-12-12T18:19:00Z,2016-12-12T18:19:00Z,,,,,1
2016-12-19T18:44:00Z,2016-12-19T18:44:00Z,,,,,1
2016-12-26T19:05:00Z,2016-12-26T19:05:00Z,,,,,1
2017-01-02T18:00:00Z,2017-01-02T18:00:00Z,,,,,1
2017-01-09T19:50:00Z,2017-01-09T19:50:00Z,,,,,1
2017-01-16T18:09:00Z,2017-01-16T18:09:00Z,,,,,1
2017-01-23T17:05:00Z,2017-01-23T17:05:00Z,,,,,1
2017-01-30T18:05:00Z,2017-01-30T18:05:00Z,,,,,1
2017-02-06T18:19:00Z,2017-02-06T18:19:00Z,,,,,1
2017-02-13T17:15:00Z,2017-02-13T17:15:00Z,,,,,1
2017-02-20T18:25:00Z,2017-02-20T18:25:00Z,,,,,1
2017-02-27T18:40:00Z,2017-02-27T18:40:00Z,,,,,1
2017-03-06T18:16:00Z,2017-03-06T18:16:00Z,,,,,1
2017-03-13T17:00:00Z,2017-03-13T17:00:00Z,,,,,1
2017-03-20T15:52:00Z,2017-03-20T15:52:00Z,,,,,1
2017-03-27T16:40:00Z,2017-03-27T16:40:00Z,,,,,1
2017-04-03T16:03:00Z,2017-04-03T16:03:00Z,,,,,1
2017-04-10T15:58:00Z,2017-04-10T15:58:00Z,,,,,1
2017-04-17T16:21:00Z,2017-04-17T16:21:00Z,,,,,1
2017-04-24T16:06:00Z,2017-04-24T16:06:00Z,,,,,1
2017-05-01T16:13:00Z,2017-05-01T16:13:00Z,,,,,1
2017-05-08T16:26:00Z,2017-05-08T16:26:00Z,,,,,1
2017-05-15T16:11:00Z,2017-05-15T16:11:00Z,,,,,1
2017-05-22T15:56:00Z,2017-05-22T15:56:00Z,,,,,1
2017-05-29T16:19:00Z,2017-05-29T16:19:00Z,,,,,1
2017-06-05T16:23:00Z,2017-06-05T16:23:00Z,,,,,1
2017-06-12T16:11:00Z,2017-06-12T16:11:00Z,,,,,1
2017-06-19T16:19:00Z,2017-06-19T16:19:00Z,,,,,1
2017-06-26T16:19:00Z,2017-06-26T16:19:00Z,,,,,1
2017-07-03T16:47:00Z,2017-07-03T16:47:00Z,,,,,1
2017-07-10T16:15:00Z,2017-07-10T16:15:00Z,,,,,1
2017-07-17T16:30:00Z,2017-07-17T16:30:00Z,,,,,1
2017-07-24T16:19:00Z,2017-07-24T16:19:00Z,,,,,1
2017-07-31T16:25:00Z,2017-07-31T16:25:00Z,,,,,1
2017-08-07T16:13:00Z,2017-08-07T16:13:00Z,,,,,1
2017-08-14T16:15:00Z,2017-08-14T16:15:00Z,,,,,1
2017-08-21T16:15:00Z,2017-08-21T16:15:00Z,,,,,1
2017-08-28T16:05:00Z,2017-08-28T16:05:00Z,,,,,1
2017-09-05T16:19:00Z,2017-09-05T16:19:00Z,,,,,1
2017-09-11T16:13:00Z,2017-09-11T16:13:00Z,,,,,1
2017-09-18T16:25:00Z,2017-09-18T16:25:00Z,,,,,1
2017-09-25T16:19:00Z,2017-09-25T16:19:00Z,,,,,1
2017-10-02T16:16:00Z,2017-10-02T16:16:00Z,,,,,1
2017-10-09T16:30:00Z,2017-10-09T16:30:00Z,,,,,1
2017-10-16T16:18:00Z,2017-10-16T16:18:00Z,,,,,1
2017-10-23T16:19:00Z,2017-10-23T16:19:00Z,,,,,1
2017-10-30T16:09:00Z,2017-10-30T16:09:00Z,,,,,1
2017-11-06T18:13:00Z,2017-11-06T18:13:00Z,,,,,1
2017-11-13T18:34:00Z,2017-11-13T18:34:00Z,,,,,1
2017-11-20T18:15:00Z,2017-11-20T18:15:00Z,,,,,1
2017-11-27T18:16:00Z,2017-11-27T18:16:00Z,,,,,1
2017-12-04T17:16:00Z,2017-12-04T17:16:00Z,,,,,1
2017-12-11T18:18:00Z,2017-12-11T18:18:00Z,,,,,1
2017-12-18T18:16:00Z,2017-12-18T18:16:00Z,,,,,1
2017-12-23T18:09:00Z,2017-12-23T18:09:00Z,,,,,1
2018-01-02T18:19:00Z,2018-01-02T18:19:00Z,,,,,1
2018-01-08T18:50:00Z,2018-01-08T18:50:00Z,,,,,1
2018-01-16T18:35:00Z,2018-01-16T18:35:00Z,,,,,1
2018-01-22T18:44:00Z,2018-01-22T18:44:00Z,,,,,1
2018-01-29T18:46:00Z,2018-01-29T18:46:00Z,,,,,1
2018-02-05T18:50:00Z,2018-02-05T18:50:00Z,,,,,1
2018-02-12T18:55:00Z,2018-02-12T18:55:00Z,,,,,1
2018-02-19T18:05:00Z,2018-02-19T18:05:00Z,,,,,1
2018-02-26T18:44:00Z,2018-02-26T18:44:00Z,,,,,1
2018-03-05T18:47:00Z,2018-03-05T18:47:00Z,,,,,1
2018-03-12T17:48:00Z,2018-03-12T17:48:00Z,,,,,1
2018-03-19T17:07:00Z,2018-03-19T17:07:00Z,,,,,1
2018-03-26T17:25:00Z,2018-03-26T17:25:00Z,,,,,1
2018-04-02T17:32:00Z,2018-04-02T17:32:00Z,,,,,1
2018-04-10T17:25:00Z,2018-04-10T17:25:00Z,,,,,1
2018-04-16T17:51:00Z,2018-04-16T17:51:00Z,,,,,1
2018-04-23T17:36:00Z,2018-04-23T17:36:00Z,,,,,1
2018-04-30T17:48:00Z,2018-04-30T17:48:00Z,,,,,1
2018-05-07T17:56:00Z,2018-05-07T17:56:00Z,,,,,1
2018-05-14T18:00:00Z,2018-05-14T18:00:00Z,,,,,1
2018-05-21T17:35:00Z,2018-05-21T17:35:00Z,,,,,1
2018-05-29T17:09:00Z,2018-05-29T17:09:00Z,,,,,1
2018-06-04T17:41:00Z,2018-06-04T17:41:00Z,,,,,1
2018-06-11T17:15:00Z,2018-06-11T17:15:00Z,,,,,1
2018-06-18T17:19:00Z,2018-06-18T17:19:00Z,,,,,1
2018-06-25T17:44:00Z,2018-06-25T17:44:00Z,,,,,1
2018-07-02T17:06:00Z,2018-07-02T17:06:00Z,,,,,1
2018-07-09T17:23:00Z,2018-07-09T17:23:00Z,,,,,1
2018-07-16T17:39:00Z,2018-07-16T17:39:00Z,,,,,1
2018-07-23T17:19:00Z,2018-07-23T17:19:00Z,,,,,1
2018-07-30T17:19:00Z,2018-07-30T17:19:00Z,,,,,1
2018-08-06T18:16:00Z,2018-08-06T18:16:00Z,,,,,1
2018-08-13T17:27:00Z,2018-08-13T17:27:00Z,,,,,1
2018-08-20T17:11:00Z,2018-08-20T17:11:00Z,,,,,1
2018-08-27T17:40:00Z,2018-08-27T17:40:00Z,,,,,1
2018-09-04T17:17:00Z,2018-09-04T17:17:00Z,,,,,1
2018-09-10T17:42:00Z,2018-09-10T17:42:00Z,,,,,1
2018-09-17T17:13:00Z,2018-09-17T17:13:00Z,,,,,1
2018-09-24T17:07:00Z,2018-09-24T17:07:00Z,,,,,1
2018-10-01T17:13:00Z,2018-10-01T17:13:00Z,,,,,1
2018-10-08T17:10:00Z,2018-10-08T17:10:00Z,,,,,1
2018-10-15T17:09:00Z,2018-10-15T17:09:00Z,,,,,1
2018-10-22T17:00:00Z,2018-10-22T17:00:00Z,,,,,1
2018-10-29T17:25:00Z,2018-10-29T17:25:00Z,,,,,1
2018-11-05T18:22:00Z,2018-11-05T18:22:00Z,,,,,1
2018-11-13T18:18:00Z,2018-11-13T18:18:00Z,,,,,1
2018-11-19T18:13:00Z,2018-11-19T18:13:00Z,,,,,1
2018-11-26T17:51:00Z,2018-11-26T17:51:00Z,,,,,1
2018-12-03T18:24:00Z,2018-12-03T18:24:00Z,,,,,1
2018-12-10T18:13:00Z,2018-12-10T18:13:00Z,,,,,1
2018-12-17T18:26:00Z,2018-12-17T18:26:00Z,,,,,1
2018-12-23T18:21:00Z,2018-12-23T18:21:00Z,,,,,1
2018-12-31T18:16:00Z,2018-12-31T18:16:00Z,,,,,1
2019-01-07T18:08:00Z,2019-01-07T18:08:00Z,446,446,446,446,1
2019-01-14T18:09:00Z,2019-01-14T18:09:00Z,178,178,178,178,1
2019-01-22T18:05:00Z,2019-01-22T18:05:00Z,680,680,680,680,1
2019-01-28T18:03:00Z,2019-01-28T18:03:00Z,1087,1087,1087,1087,1
2019-02-04T18:08:00Z,2019-02-04T18:08:00Z,1877,1877,1877,1877,1
2019-02-11T17:51:00Z,2019-02-11T17:51:00Z,4381,4381,4381,4381,1
2019-02-19T18:30:00Z,2019-02-19T18:30:00Z,680,680,680,680,1
2019-02-25T17:57:00Z,2019-02-25T17:57:00Z,0,0,0,0,1
2019-03-04T17:56:00Z,2019-03-04T17:56:00Z,5632,5632,5632,5632,1
2019-03-11T17:01:00Z,2019-03-11T17:01:00Z,1359,1359,1359,1359,1
2019-03-18T17:09:00Z,2019-03-18T17:09:00Z,1359,1359,1359,1359,1
2019-03-25T17:05:00Z,2019-03-25T17:05:00Z,2503,2503,2503,2503,1
2019-04-01T17:35:00Z,2019-04-01T17:35:00Z,408,408,408,408,1
2019-04-08T17:44:00Z,2019-04-08T17:44:00Z,0,0,0,0,1
2019-04-15T18:03:00Z,2019-04-15T18:03:00Z,4486,4486,4486,4486,1
2019-04-22T18:19:00Z,2019-04-22T18:19:00Z,408,408,408,408,1
2019-04-29T18:02:00Z,2019-04-29T18:02:00Z,1223,1223,1223,1223,1
2019-05-06T17:52:00Z,2019-05-06T17:52:00Z,408,408,408,408,1
2019-05-13T17:57:00Z,2019-05-13T17:57:00Z,6258,6258,6258,6258,1
2019-05-20T18:00:00Z,2019-05-20T18:00:00Z,60703,60703,60703,60703,1
2019-05-28T17:27:00Z,2019-05-28T17:27:00Z,47561,47561,47561,47561,1
2019-06-03T17:44:00Z,2019-06-03T17:44:00Z,647705,647705,647705,647705,1
2019-06-10T17:42:00Z,2019-06-10T17:42:00Z,55696,55696,55696,55696,1
2019-06-17T17:15:00Z,2019-06-17T17:15:00Z,236553,236553,236553,236553,1
2019-06-24T17:19:00Z,2019-06-24T17:19:00Z,25658,25658,25658,25658,1
2019-07-01T17:19:00Z,2019-07-01T17:19:00Z,5006,5006,5006,5006,1
2019-07-08T17:25:00Z,2019-07-08T17:25:00Z,3755,3755,3755,3755,1
2019-07-15T17:17:00Z,2019-07-15T17:17:00Z,24406,24406,24406,24406,1
2019-07-22T17:19:00Z,2019-07-22T17:19:00Z,2462,2462,2462,2462,1
2019-07-29T17:15:00Z,2019-07-29T17:15:00Z,2872,2872,2872,2872,1
2019-08-05T17:14:00Z,2019-08-05T17:14:00Z,3806,3806,3806,3806,1
